thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,0,0.04,1.25,0,3,stretched,0.6978020999813452,243,JL,56,1,
,,visual-haptic,1,2,0.04,1.25,3,3,stretched,1.4825724000111222,259,JL,56,1,
,,visual-haptic,0,0,0.04,0.75,2,6,squashed,0.7748529999516904,246,JL,56,1,
,,visual-haptic,0,2,0.04,1.25,2,6,squashed,1.2103167000459507,228,JL,56,1,
,,visual-haptic,1,0,0.04,0.75,1,3,stretched,1.8334810000378639,241,JL,56,1,
,,visual-haptic,3,2,0.04,1,3,3,stretched,0.8250800999812782,233,JL,56,1,
,,visual-haptic,3,2,0.04,1.25,1,3,stretched,0.3283847999991849,228,JL,56,1,
,,visual-haptic,1,2,0.04,1.5,0,3,stretched,0.5860734999878332,253,JL,56,1,
,,visual-haptic,0,1,0.04,1.25,1,6,squashed,2.020405999966897,299,JL,56,1,
,,visual-haptic,3,2,0.04,1.25,2,3,stretched,0.1893184999935329,227,JL,56,1,
,,visual-haptic,1,0,0.04,1.5,3,3,stretched,3.522499200073071,238,JL,56,1,
,,visual-haptic,3,1,0.04,0.75,3,6,squashed,0.052793300012126565,277,JL,56,1,
,,visual-haptic,3,1,0.04,1.25,1,6,squashed,1.8217486999928951,272,JL,56,1,
,,visual-haptic,0,1,0.04,1.5,0,3,stretched,1.5592550999717787,273,JL,56,1,
,,visual-haptic,1,1,0.04,1,2,3,stretched,0.2776676999637857,295,JL,56,1,
,,visual-haptic,1,2,0.04,0.75,2,6,squashed,0.09322150005027652,229,JL,56,1,
,,visual-haptic,0,2,0.04,0.75,1,6,squashed,0.9091210999758914,218,JL,56,1,
,,visual-haptic,3,1,0.04,0.75,1,6,squashed,0.3103627000236884,275,JL,56,1,
,,visual-haptic,0,1,0.04,0.5,3,6,squashed,0.49714200000744313,274,JL,56,1,
,,visual-haptic,0,0,0.04,1.25,2,3,stretched,1.0905627000611275,222,JL,56,1,
,,visual-haptic,3,2,0.04,1.5,3,3,stretched,1.997889699996449,232,JL,56,1,
,,visual-haptic,3,2,0.04,0.5,1,6,squashed,0.9971421000082046,211,JL,56,1,
,,visual-haptic,0,0,0.04,1,2,3,stretched,1.7384213999612257,239,JL,56,1,
