thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0,1,0.04,1.5,1,6,squashed,2.379517199937254,316,RB,56,1,
,,visual-haptic,0,2,0.04,0.75,0,6,squashed,0.8535369000164792,223,RB,56,1,
,,visual-haptic,3,0,0.04,0.75,2,6,squashed,0.8295076999347657,245,RB,56,1,
,,visual-haptic,0,0,0.04,1,0,6,squashed,2.1914611000102013,267,RB,56,1,
,,visual-haptic,3,2,0.04,0.75,0,6,squashed,2.3855442000785843,275,RB,56,1,
,,visual-haptic,1,2,0.04,1.25,0,6,squashed,2.0910515000578016,252,RB,56,1,
,,visual-haptic,3,0,0.04,1,1,3,stretched,1.197997499955818,246,RB,56,1,
,,visual-haptic,1,0,0.04,1,0,3,stretched,1.2439988000551239,241,RB,56,1,
,,visual-haptic,1,2,0.04,1.25,1,3,stretched,1.3106131000677124,230,RB,56,1,
,,visual-haptic,1,2,0.04,1.5,0,3,stretched,1.7573155999416485,246,RB,56,1,
,,visual-haptic,0,1,0.04,1.5,2,3,stretched,1.2581770999822766,346,RB,56,1,
,,visual-haptic,0,2,0.04,0.5,0,6,squashed,0.9739662000210956,261,RB,56,1,
,,visual-haptic,1,2,0.04,1.5,2,3,stretched,1.5318688999395818,252,RB,56,1,
,,visual-haptic,0,2,0.04,1.5,3,3,stretched,1.2799573000520468,265,RB,56,1,
,,visual-haptic,3,2,0.04,0.5,2,6,squashed,0.361501699895598,229,RB,56,1,
,,visual-haptic,0,1,0.04,0.5,1,6,squashed,0.9691727999597788,274,RB,56,1,
,,visual-haptic,1,0,0.04,0.5,3,6,squashed,0.5215398999862373,242,RB,56,1,
,,visual-haptic,1,0,0.04,0.5,0,6,squashed,0.7950458999257535,283,RB,56,1,
,,visual-haptic,0,1,0.04,0.75,3,6,squashed,0.36843819997739047,303,RB,56,1,
,,visual-haptic,0,0,0.04,1.25,1,3,stretched,0.028626799932681024,259,RB,56,1,
,,visual-haptic,0,0,0.04,0.5,0,6,squashed,0.27168150001671165,220,RB,56,1,
,,visual-haptic,3,0,0.04,1,0,3,stretched,0.1716028000228107,250,RB,56,1,
,,visual-haptic,1,2,0.04,0.75,0,6,squashed,0.7237699999241158,247,RB,56,1,
,,visual-haptic,3,2,0.04,0.5,0,6,squashed,1.5160588000435382,231,RB,56,1,
,,visual-haptic,3,2,0.04,1,2,3,stretched,1.05244770005811,255,RB,56,1,
,,visual-haptic,1,1,0.04,1.25,2,3,stretched,0.9585884999250993,286,RB,56,1,
,,visual-haptic,0,1,0.04,1.25,0,3,stretched,1.1813496999675408,269,RB,56,1,
,,visual-haptic,3,1,0.04,1.25,1,6,squashed,1.518895799992606,275,RB,56,1,
,,visual-haptic,0,2,0.04,1.5,1,3,stretched,0.7257888000458479,244,RB,56,1,
,,visual-haptic,0,0,0.04,0.75,3,6,squashed,0.22568329994101077,263,RB,56,1,
,,visual-haptic,3,1,0.04,1.25,0,6,squashed,4.27905410004314,297,RB,56,1,
,,visual-haptic,0,1,0.04,1,2,3,stretched,0.5533868999918923,271,RB,56,1,
,,visual-haptic,3,0,0.04,1.5,3,3,stretched,0.4064595000818372,302,RB,56,1,
,,visual-haptic,1,2,0.04,1,3,3,stretched,1.4214795998996124,249,RB,56,1,
,,visual-haptic,3,0,0.04,0.5,3,6,squashed,1.9963266000850126,241,RB,56,1,
,,visual-haptic,1,1,0.04,0.75,3,6,squashed,0.5411517000757158,275,RB,56,1,
,,visual-haptic,1,1,0.04,0.5,2,6,squashed,0.3293943000026047,267,RB,56,1,
,,visual-haptic,3,1,0.04,0.5,2,6,squashed,1.249158599996008,300,RB,56,1,
