thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,3,0,0.04,1.25,2,3,stretched,1.7328563999617472,266,DY,56,1,
,,visual-haptic,1,2,0.04,1.5,0,3,stretched,1.8940195000031963,230,DY,56,1,
,,visual-haptic,3,2,0.04,1.5,1,3,stretched,2.3906743000261486,227,DY,56,1,
,,visual-haptic,1,1,0.04,1.5,1,3,stretched,1.8083759000292048,273,DY,56,1,
,,visual-haptic,0,2,0.04,1.5,3,3,stretched,1.841311699943617,231,DY,56,1,
,,visual-haptic,3,2,0.04,1,3,3,stretched,3.570315200020559,228,DY,56,1,
,,visual-haptic,0,2,0.04,1,2,3,stretched,2.0877421000041068,241,DY,56,1,
,,visual-haptic,0,1,0.04,1.5,1,3,stretched,1.7434457000344992,274,DY,56,1,
,,visual-haptic,1,0,0.04,1.25,2,3,stretched,1.7428993999492377,268,DY,56,1,
,,visual-haptic,3,1,0.04,1,0,3,stretched,1.7177186000626534,270,DY,56,1,
,,visual-haptic,0,1,0.04,1.25,0,3,stretched,1.5027568000368774,274,DY,56,1,
,,visual-haptic,3,1,0.04,1.5,2,3,stretched,1.3468239000067115,292,DY,56,1,
,,visual-haptic,1,1,0.04,1.25,2,3,stretched,3.060796899953857,269,DY,56,1,
,,visual-haptic,0,0,0.04,0.75,3,6,squashed,1.580262399977073,280,DY,56,1,
,,visual-haptic,1,1,0.04,1.5,2,3,stretched,1.7513650000328198,280,DY,56,1,
,,visual-haptic,1,0,0.04,0.5,1,6,squashed,1.333771700039506,261,DY,56,1,
,,visual-haptic,1,0,0.04,1,0,3,stretched,1.3585064000217244,236,DY,56,1,
,,visual-haptic,1,0,0.04,1.25,3,3,stretched,1.4497261999640614,237,DY,56,1,
,,visual-haptic,0,1,0.04,0.75,1,6,squashed,1.4245292999548838,297,DY,56,1,
,,visual-haptic,1,1,0.04,0.75,1,6,squashed,2.108837899984792,278,DY,56,1,
,,visual-haptic,3,1,0.04,1.5,1,3,stretched,1.416128399898298,287,DY,56,1,
,,visual-haptic,3,1,0.04,1,2,3,stretched,1.1707766000181437,308,DY,56,1,
,,visual-haptic,0,2,0.04,1.5,0,3,stretched,0.8015545000089332,228,DY,56,1,
,,visual-haptic,0,0,0.04,1.5,0,3,stretched,1.2892150999978185,238,DY,56,1,
,,visual-haptic,0,0,0.04,0.75,2,3,stretched,2.670299299992621,241,DY,56,1,
,,visual-haptic,3,0,0.04,1.25,0,3,stretched,2.0533949000528082,252,DY,56,1,
,,visual-haptic,3,2,0.04,1.5,3,3,stretched,2.2478707999689505,237,DY,56,1,
,,visual-haptic,1,2,0.04,0.5,2,6,squashed,1.4331357999471948,228,DY,56,1,
,,visual-haptic,0,1,0.04,0.75,0,6,squashed,1.4899024000624195,270,DY,56,1,
,,visual-haptic,0,1,0.04,1,0,3,stretched,0.8316452000290155,295,DY,56,1,
,,visual-haptic,3,2,0.04,1,1,3,stretched,1.4119225000031292,248,DY,56,1,
,,visual-haptic,1,1,0.04,1.25,3,3,stretched,1.1020255000330508,268,DY,56,1,
,,visual-haptic,3,1,0.04,1.5,3,3,stretched,0.8574044000124559,313,DY,56,1,
,,visual-haptic,3,1,0.04,0.5,1,6,squashed,1.55214090005029,297,DY,56,1,
,,visual-haptic,1,1,0.04,0.75,3,6,squashed,2.55678079999052,298,DY,56,1,
,,visual-haptic,0,1,0.04,0.75,2,6,squashed,2.2916124999755993,265,DY,56,1,
,,visual-haptic,1,2,0.04,1.5,1,3,stretched,1.8917478999355808,223,DY,56,1,
,,visual-haptic,3,2,0.04,0.5,1,6,squashed,2.236216300050728,229,DY,56,1,
,,visual-haptic,1,2,0.04,0.75,3,6,squashed,1.08370739989914,251,DY,56,1,
,,visual-haptic,3,0,0.04,1,3,3,stretched,2.2886680000228807,252,DY,56,1,
,,visual-haptic,1,1,0.04,1.5,0,3,stretched,1.6506915000500157,267,DY,56,1,
,,visual-haptic,1,0,0.04,0.5,3,6,squashed,1.1342394000384957,239,DY,56,1,
,,visual-haptic,3,2,0.04,0.75,1,6,squashed,1.7362380999838933,240,DY,56,1,
,,visual-haptic,1,1,0.04,1.25,0,3,stretched,1.1409123999765143,296,DY,56,1,
,,visual-haptic,1,2,0.04,1,2,3,stretched,0.947769199963659,259,DY,56,1,
,,visual-haptic,1,2,0.04,0.5,0,6,squashed,0.697051800088957,256,DY,56,1,
,,visual-haptic,1,2,0.04,0.5,1,6,squashed,1.275778100010939,239,DY,56,1,
,,visual-haptic,0,1,0.04,1,1,3,stretched,2.957231199950911,319,DY,56,1,
,,visual-haptic,0,2,0.04,0.5,2,6,squashed,2.8031836000736803,228,DY,56,1,
,,visual-haptic,3,2,0.04,1.25,2,3,stretched,2.0480725000379607,250,DY,56,1,
,,visual-haptic,3,1,0.04,1.5,0,3,stretched,1.0420794999226928,288,DY,56,1,
,,visual-haptic,0,2,0.04,1.5,1,3,stretched,1.0421924999682233,232,DY,56,1,
,,visual-haptic,3,0,0.04,0.5,2,6,squashed,0.9033320000162348,276,DY,56,1,
,,visual-haptic,1,1,0.04,1,1,3,stretched,1.3144019999308512,275,DY,56,1,
,,visual-haptic,3,2,0.04,1,0,3,stretched,0.9845010000281036,245,DY,56,1,
,,visual-haptic,0,0,0.04,0.5,1,6,squashed,0.923011300037615,251,DY,56,1,
,,visual-haptic,3,0,0.04,1,2,3,stretched,0.9539110000478104,268,DY,56,1,
,,visual-haptic,3,1,0.04,0.75,3,3,stretched,1.6330353000666946,269,DY,56,1,
,,visual-haptic,1,2,0.04,1,1,3,stretched,2.6532733000349253,257,DY,56,1,
,,visual-haptic,1,1,0.04,0.5,3,6,squashed,1.872982700006105,275,DY,56,1,
,,visual-haptic,1,2,0.04,0.75,0,3,stretched,1.7235383000224829,194,DY,56,1,
,,visual-haptic,3,1,0.04,1,1,3,stretched,2.099177399999462,267,DY,56,1,
,,visual-haptic,3,2,0.04,1.25,3,3,stretched,1.458060699980706,225,DY,56,1,
,,visual-haptic,0,0,0.04,1.25,2,3,stretched,0.9820396000286564,259,DY,56,1,
,,visual-haptic,1,1,0.04,1,2,3,stretched,1.2278680999297649,298,DY,56,1,
,,visual-haptic,3,2,0.04,1.5,2,3,stretched,1.3058887999504805,221,DY,56,1,
,,visual-haptic,3,0,0.04,0.75,0,6,squashed,1.2654942999361083,278,DY,56,1,
,,visual-haptic,0,0,0.04,1,2,3,stretched,1.1293105999939144,269,DY,56,1,
,,visual-haptic,3,0,0.04,1.5,1,3,stretched,1.6528431000187993,259,DY,56,1,
,,visual-haptic,1,0,0.04,1.5,0,3,stretched,1.1612148999702185,258,DY,56,1,
,,visual-haptic,1,0,0.04,1.25,1,6,squashed,2.701273599988781,280,DY,56,1,
,,visual-haptic,1,0,0.04,1,2,3,stretched,1.429718800005503,243,DY,56,1,
,,visual-haptic,1,2,0.04,0.75,1,3,stretched,2.1089534999337047,243,DY,56,1,
,,visual-haptic,3,2,0.04,1.25,1,3,stretched,1.5937429999466985,220,DY,56,1,
,,visual-haptic,1,2,0.04,1.25,1,3,stretched,1.4540001000277698,227,DY,56,1,
,,visual-haptic,0,0,0.04,1.25,1,3,stretched,1.6407760999863967,278,DY,56,1,
,,visual-haptic,3,1,0.04,1.25,2,3,stretched,1.0110595000442117,283,DY,56,1,
,,visual-haptic,0,1,0.04,1.25,2,3,stretched,2.1614964000182226,267,DY,56,1,
,,visual-haptic,0,1,0.04,0.5,0,6,squashed,0.7618940999964252,267,DY,56,1,
,,visual-haptic,1,2,0.04,1.5,2,3,stretched,0.9432088999310508,259,DY,56,1,
,,visual-haptic,0,0,0.04,1.5,3,3,stretched,1.4345314000966027,240,DY,56,1,
,,visual-haptic,1,0,0.04,1.5,1,3,stretched,1.4199656000128016,261,DY,56,1,
,,visual-haptic,1,1,0.04,0.75,2,6,squashed,1.0742542000953108,272,DY,56,1,
,,visual-haptic,1,1,0.04,1,0,3,stretched,1.482975099934265,315,DY,56,1,
,,visual-haptic,0,1,0.04,1.5,2,3,stretched,0.9947205999633297,279,DY,56,1,
,,visual-haptic,0,1,0.04,1.25,1,3,stretched,1.014578799949959,286,DY,56,1,
,,visual-haptic,0,2,0.04,0.5,0,6,squashed,1.0757680999813601,251,DY,56,1,
,,visual-haptic,3,0,0.04,1,0,6,squashed,1.6930410999339074,257,DY,56,1,
,,visual-haptic,0,1,0.04,0.75,3,6,squashed,1.094161199987866,290,DY,56,1,
,,visual-haptic,0,1,0.04,1,2,3,stretched,1.8034824000205845,307,DY,56,1,
,,visual-haptic,0,0,0.04,1.25,0,3,stretched,1.2326523000374436,238,DY,56,1,
,,visual-haptic,3,1,0.04,0.75,2,3,stretched,2.0232699000043795,270,DY,56,1,
,,visual-haptic,0,2,0.04,1,0,3,stretched,1.1563645999412984,231,DY,56,1,
,,visual-haptic,1,0,0.04,0.75,0,6,squashed,1.14734679996036,268,DY,56,1,
,,visual-haptic,0,2,0.04,0.5,1,6,squashed,1.3258562000701204,232,DY,56,1,
,,visual-haptic,1,2,0.04,1,0,3,stretched,0.8137696000048891,238,DY,56,1,
,,visual-haptic,1,0,0.04,1.5,2,3,stretched,1.5190682999091223,240,DY,56,1,
,,visual-haptic,0,2,0.04,1.25,3,3,stretched,1.2737681000726297,231,DY,56,1,
,,visual-haptic,1,0,0.04,1.5,3,3,stretched,1.0568579999962822,282,DY,56,1,
