thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,2,0.04,0.75,0,6,squashed,0.4516406999900937,277,KJ,56,1,
,,visual-haptic,1,0,0.04,1,3,3,stretched,0.33396749990060925,235,KJ,56,1,
,,visual-haptic,0,0,0.04,1.5,2,3,stretched,0.3057723001111299,259,KJ,56,1,
,,visual-haptic,1,1,0.04,1.5,3,3,stretched,0.9356116999406368,307,KJ,56,1,
,,visual-haptic,0,0,0.04,1.25,1,3,stretched,1.299182299990207,293,KJ,56,1,
,,visual-haptic,0,1,0.04,1.25,1,3,stretched,0.4283058999571949,305,KJ,56,1,
,,visual-haptic,3,2,0.04,1.25,3,3,stretched,1.771342699881643,252,KJ,56,1,
,,visual-haptic,1,2,0.04,1,2,3,stretched,0.9484935998916626,268,KJ,56,1,
,,visual-haptic,1,1,0.04,0.5,0,6,squashed,0.6337188999168575,289,KJ,56,1,
,,visual-haptic,0,2,0.04,0.75,3,6,squashed,0.539175600046292,264,KJ,56,1,
,,visual-haptic,3,2,0.04,1.5,0,3,stretched,0.9870648998767138,264,KJ,56,1,
,,visual-haptic,0,0,0.04,1,0,3,stretched,0.3027409000787884,276,KJ,56,1,
,,visual-haptic,0,0,0.04,1.25,3,3,stretched,0.5895277999807149,302,KJ,56,1,
,,visual-haptic,1,0,0.04,0.75,3,6,squashed,0.4001070000231266,289,KJ,56,1,
,,visual-haptic,0,0,0.04,1,1,3,stretched,0.44254620000720024,256,KJ,56,1,
,,visual-haptic,0,2,0.04,1.5,0,3,stretched,0.5258861999027431,272,KJ,56,1,
,,visual-haptic,3,1,0.04,0.75,3,6,squashed,1.875377899967134,321,KJ,56,1,
,,visual-haptic,1,2,0.04,1.5,0,3,stretched,0.7512119000311941,252,KJ,56,1,
,,visual-haptic,3,2,0.04,1.5,2,3,stretched,0.7259150999598205,236,KJ,56,1,
,,visual-haptic,1,1,0.04,1,0,3,stretched,0.9430998000316322,304,KJ,56,1,
,,visual-haptic,3,2,0.04,1,0,3,stretched,0.4605280999094248,262,KJ,56,1,
,,visual-haptic,0,2,0.04,0.5,1,6,squashed,0.28167230007238686,277,KJ,56,1,
,,visual-haptic,1,2,0.04,1.5,2,3,stretched,0.6560331000946462,244,KJ,56,1,
,,visual-haptic,0,0,0.04,1.25,2,3,stretched,0.5764244999736547,248,KJ,56,1,
,,visual-haptic,1,0,0.04,0.5,2,6,squashed,4.114221400115639,283,KJ,56,1,
,,visual-haptic,1,0,0.04,1.25,2,3,stretched,0.4958003000356257,249,KJ,56,1,
,,visual-haptic,3,0,0.04,1.5,0,3,stretched,0.6978598998393863,261,KJ,56,1,
,,visual-haptic,0,2,0.04,1.25,2,3,stretched,0.8678459001239389,273,KJ,56,1,
,,visual-haptic,1,0,0.04,0.5,0,6,squashed,0.48369459994137287,244,KJ,56,1,
,,visual-haptic,0,0,0.04,1.5,3,3,stretched,0.20091899996623397,299,KJ,56,1,
,,visual-haptic,0,2,0.04,0.5,0,6,squashed,0.40540120005607605,270,KJ,56,1,
,,visual-haptic,0,0,0.04,1.5,1,3,stretched,0.32917480007745326,271,KJ,56,1,
,,visual-haptic,0,2,0.04,0.75,1,6,squashed,0.4091698001138866,249,KJ,56,1,
,,visual-haptic,0,1,0.04,1,2,3,stretched,0.6608021000865847,306,KJ,56,1,
,,visual-haptic,3,1,0.04,1,0,3,stretched,0.5635794999543577,337,KJ,56,1,
,,visual-haptic,1,0,0.04,0.5,3,6,squashed,0.04109840001910925,258,KJ,56,1,
,,visual-haptic,0,2,0.04,0.5,2,6,squashed,0.40766799985431135,269,KJ,56,1,
,,visual-haptic,1,2,0.04,1,3,3,stretched,0.3050355000887066,246,KJ,56,1,
