thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,2,0.04,0.75,2,6,squashed,1.9906023000366986,260,ep,56,1,
,,visual-haptic,3,2,0.04,1.5,1,3,stretched,1.5780633001122624,226,ep,56,1,
,,visual-haptic,1,2,0.04,1.5,3,3,stretched,1.8831009999848902,254,ep,56,1,
,,visual-haptic,1,2,0.04,0.75,1,6,squashed,1.7962463002186269,247,ep,56,1,
,,visual-haptic,0,1,0.04,0.5,0,6,squashed,1.6718791997991502,305,ep,56,1,
,,visual-haptic,0,2,0.04,1,1,3,stretched,1.6938936999067664,229,ep,56,1,
,,visual-haptic,1,2,0.04,1.25,2,3,stretched,1.6819573000539094,277,ep,56,1,
,,visual-haptic,0,1,0.04,0.5,2,6,squashed,1.2378621001262218,296,ep,56,1,
,,visual-haptic,0,0,0.04,0.5,2,6,squashed,1.627749799983576,233,ep,56,1,
,,visual-haptic,1,1,0.04,1.25,3,3,stretched,2.212503799935803,328,ep,56,1,
,,visual-haptic,3,2,0.04,1.25,1,3,stretched,1.1018256999086589,246,ep,56,1,
,,visual-haptic,1,0,0.04,1.25,0,3,stretched,0.9844816001132131,290,ep,56,1,
,,visual-haptic,0,0,0.04,1.25,0,3,stretched,0.40502330008894205,299,ep,56,1,
,,visual-haptic,0,1,0.04,1.5,2,3,stretched,0.5402655999641865,313,ep,56,1,
,,visual-haptic,1,1,0.04,1,3,3,stretched,0.8167407000437379,335,ep,56,1,
,,visual-haptic,1,1,0.04,1,0,3,stretched,0.7418965001124889,315,ep,56,1,
,,visual-haptic,0,2,0.04,0.75,0,6,squashed,1.4424174998421222,282,ep,56,1,
,,visual-haptic,1,2,0.04,1.5,0,3,stretched,1.683263499988243,246,ep,56,1,
,,visual-haptic,3,2,0.04,0.75,2,6,squashed,1.3958362999837846,268,ep,56,1,
,,visual-haptic,0,1,0.04,1.25,0,3,stretched,0.9664484998211265,342,ep,56,1,
,,visual-haptic,0,0,0.04,1,1,3,stretched,1.295092900050804,289,ep,56,1,
,,visual-haptic,0,2,0.04,0.75,3,6,squashed,1.6483954000286758,230,ep,56,1,
,,visual-haptic,0,1,0.04,1.25,1,3,stretched,1.0905935999471694,329,ep,56,1,
,,visual-haptic,1,0,0.04,1,1,3,stretched,0.46522630006074905,248,ep,56,1,
,,visual-haptic,0,1,0.04,0.75,1,6,squashed,1.1653909999877214,361,ep,56,1,
,,visual-haptic,1,0,0.04,1.25,2,3,stretched,0.9262836000416428,271,ep,56,1,
,,visual-haptic,3,2,0.04,1,3,6,squashed,1.1033148998394608,280,ep,56,1,
,,visual-haptic,0,1,0.04,0.5,3,6,squashed,0.844253099989146,302,ep,56,1,
,,visual-haptic,3,0,0.04,1,2,3,stretched,1.2643615000415593,260,ep,56,1,
,,visual-haptic,3,1,0.04,1,1,3,stretched,1.0741181999910623,316,ep,56,1,
,,visual-haptic,0,1,0.04,1,2,3,stretched,1.615771000040695,314,ep,56,1,
