thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0,2,0.04,1.5,1,3,stretched,0.8249892999883741,248,ag,56,1,
,,visual-haptic,3,1,0.04,1.5,3,3,stretched,0.6596786000300199,324,ag,56,1,
,,visual-haptic,3,2,0.04,1,3,3,stretched,0.9202614999376237,264,ag,56,1,
,,visual-haptic,0,0,0.04,1,1,3,stretched,1.2793256998993456,266,ag,56,1,
,,visual-haptic,0,2,0.04,1.25,0,3,stretched,0.5654716000426561,226,ag,56,1,
,,visual-haptic,3,2,0.04,1.25,3,6,squashed,1.096366599900648,233,ag,56,1,
,,visual-haptic,0,0,0.04,1,3,3,stretched,1.3926603000145406,268,ag,56,1,
,,visual-haptic,0,0,0.04,0.5,0,6,squashed,1.2919993000105023,289,ag,56,1,
,,visual-haptic,0,2,0.04,0.75,3,6,squashed,1.2418587999418378,251,ag,56,1,
,,visual-haptic,0,1,0.04,1,2,3,stretched,0.4756882998626679,337,ag,56,1,
,,visual-haptic,1,0,0.04,0.75,0,6,squashed,1.6297724000178277,232,ag,56,1,
,,visual-haptic,0,1,0.04,0.75,3,3,stretched,1.6122212000191212,312,ag,56,1,
,,visual-haptic,3,0,0.04,0.5,2,6,squashed,0.7871085000224411,318,ag,56,1,
,,visual-haptic,0,0,0.04,0.75,1,6,squashed,1.2621804000809789,270,ag,56,1,
,,visual-haptic,3,0,0.04,1.25,0,3,stretched,1.1446458001155406,257,ag,56,1,
,,visual-haptic,3,1,0.04,0.5,3,6,squashed,1.316178800072521,306,ag,56,1,
,,visual-haptic,1,2,0.04,0.75,3,6,squashed,1.2009737000335008,229,ag,56,1,
,,visual-haptic,1,1,0.04,1.5,1,3,stretched,1.3335037999786437,301,ag,56,1,
,,visual-haptic,0,0,0.04,1,2,3,stretched,1.4420119998976588,299,ag,56,1,
,,visual-haptic,0,0,0.04,1.25,2,3,stretched,1.2549105999059975,294,ag,56,1,
,,visual-haptic,1,1,0.04,0.5,0,6,squashed,0.6540538999252021,344,ag,56,1,
,,visual-haptic,1,2,0.04,1.5,3,3,stretched,0.8044224001932889,235,ag,56,1,
,,visual-haptic,1,0,0.04,1,2,3,stretched,1.570672599831596,307,ag,56,1,
,,visual-haptic,3,2,0.04,1.5,2,3,stretched,1.3282412998378277,258,ag,56,1,
,,visual-haptic,1,1,0.04,0.5,2,6,squashed,0.7637674999423325,329,ag,56,1,
,,visual-haptic,0,2,0.04,0.75,2,6,squashed,1.2171145000029355,265,ag,56,1,
,,visual-haptic,0,1,0.04,0.5,0,6,squashed,1.0697844999376684,317,ag,56,1,
