thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0,2,0.04,1.25,1,3,stretched,0.5017709999810904,230,kc,56,1,
,,visual-haptic,0,1,0.04,1.5,3,3,stretched,1.5656696999212727,304,kc,56,1,
,,visual-haptic,0,1,0.04,1.25,1,3,stretched,1.5704519000137225,280,kc,56,1,
,,visual-haptic,3,1,0.04,1.5,3,6,squashed,1.667456700000912,279,kc,56,1,
,,visual-haptic,0,0,0.04,1.25,0,6,squashed,4.459014299907722,268,kc,56,1,
,,visual-haptic,1,2,0.04,1.25,2,6,squashed,0.5035948000149801,248,kc,56,1,
,,visual-haptic,0,0,0.04,0.5,1,6,squashed,0.04393870010972023,247,kc,56,1,
,,visual-haptic,1,0,0.04,0.75,2,6,squashed,1.1108249999815598,242,kc,56,1,
,,visual-haptic,1,2,0.04,1.5,0,3,stretched,0.4406995999161154,238,kc,56,1,
,,visual-haptic,1,0,0.04,0.75,1,6,squashed,1.4095264000352472,243,kc,56,1,
,,visual-haptic,3,1,0.04,1,3,3,stretched,0.010425699991174042,280,kc,56,1,
,,visual-haptic,1,2,0.04,1.5,1,3,stretched,1.749116199905984,220,kc,56,1,
,,visual-haptic,1,0,0.04,0.5,3,6,squashed,0.05370960000436753,247,kc,56,1,
,,visual-haptic,0,1,0.04,1,1,3,stretched,0.916990999947302,305,kc,56,1,
,,visual-haptic,3,0,0.04,1.25,1,6,squashed,0.782781699905172,250,kc,56,1,
,,visual-haptic,0,2,0.04,1.5,0,3,stretched,0.41000380006153136,246,kc,56,1,
,,visual-haptic,3,0,0.04,0.5,1,6,squashed,0.6004682999337092,283,kc,56,1,
,,visual-haptic,1,1,0.04,1,0,3,stretched,0.7256276999833062,274,kc,56,1,
,,visual-haptic,3,2,0.04,1.5,0,3,stretched,0.21679479989688843,222,kc,56,1,
,,visual-haptic,3,2,0.04,0.5,2,6,squashed,0.6173936000559479,245,kc,56,1,
,,visual-haptic,3,1,0.04,1,2,3,stretched,1.4532124999677762,306,kc,56,1,
,,visual-haptic,0,1,0.04,0.5,1,6,squashed,0.41323139995802194,291,kc,56,1,
,,visual-haptic,3,1,0.04,1.5,1,3,stretched,0.9408865999430418,285,kc,56,1,
,,visual-haptic,0,0,0.04,1.25,3,3,stretched,1.9932999999728054,268,kc,56,1,
,,visual-haptic,1,1,0.04,1.25,3,3,stretched,0.07166190003044903,301,kc,56,1,
,,visual-haptic,1,1,0.04,0.75,1,6,squashed,0.48491840006317943,284,kc,56,1,
,,visual-haptic,3,1,0.04,0.5,2,6,squashed,0.3318474000552669,275,kc,56,1,
,,visual-haptic,1,1,0.04,0.5,0,6,squashed,0.49096229998394847,317,kc,56,1,
,,visual-haptic,3,0,0.04,0.5,2,6,squashed,0.6745296000735834,246,kc,56,1,
,,visual-haptic,0,1,0.04,1.5,1,3,stretched,0.4922145999735221,291,kc,56,1,
,,visual-haptic,0,1,0.04,0.5,3,6,squashed,0.7981747000012547,280,kc,56,1,
,,visual-haptic,3,1,0.04,1.25,3,3,stretched,1.0157831000396982,272,kc,56,1,
,,visual-haptic,1,0,0.04,0.75,0,6,squashed,0.6023586000083014,246,kc,56,1,
,,visual-haptic,3,0,0.04,1.5,3,3,stretched,0.853741200058721,253,kc,56,1,
,,visual-haptic,1,2,0.04,1.25,0,3,stretched,0.1933785000583157,247,kc,56,1,
,,visual-haptic,1,2,0.04,0.5,0,6,squashed,0.09275359997991472,250,kc,56,1,
,,visual-haptic,1,2,0.04,1,3,3,stretched,0.29934590007178485,245,kc,56,1,
,,visual-haptic,0,1,0.04,1.25,2,3,stretched,0.7487333999015391,299,kc,56,1,
,,visual-haptic,3,2,0.04,1.25,1,3,stretched,0.3454708999488503,228,kc,56,1,
,,visual-haptic,1,1,0.04,0.75,0,6,squashed,1.529159100027755,323,kc,56,1,
,,visual-haptic,0,1,0.04,1,2,3,stretched,2.1946412000106648,279,kc,56,1,
,,visual-haptic,3,2,0.04,1.25,0,3,stretched,0.33283219998702407,255,kc,56,1,
,,visual-haptic,0,2,0.04,1,2,3,stretched,3.8829756999621168,223,kc,56,1,
,,visual-haptic,0,0,0.04,1.5,2,3,stretched,1.0911740999436006,246,kc,56,1,
,,visual-haptic,1,1,0.04,1.5,2,3,stretched,0.5226717999903485,279,kc,56,1,
,,visual-haptic,0,0,0.04,1,1,3,stretched,0.015782699920237064,244,kc,56,1,
,,visual-haptic,3,2,0.04,1,0,6,squashed,0.7276323999976739,214,kc,56,1,
,,visual-haptic,1,2,0.04,1,0,3,stretched,1.7783909999998286,233,kc,56,1,
,,visual-haptic,1,1,0.04,1.25,2,6,squashed,0.9392591000068933,296,kc,56,1,
,,visual-haptic,3,1,0.04,0.75,1,6,squashed,0.4626671998994425,283,kc,56,1,
,,visual-haptic,1,1,0.04,0.5,2,6,squashed,0.38786419993266463,324,kc,56,1,
,,visual-haptic,0,0,0.04,1,2,3,stretched,0.5918121000286192,221,kc,56,1,
,,visual-haptic,3,1,0.04,1.5,2,3,stretched,1.6460550000192598,283,kc,56,1,
,,visual-haptic,3,2,0.04,1,1,3,stretched,1.203147199936211,230,kc,56,1,
